# TAILLE = 1024
# nb.th.        seq      P:S::     P:S:1:    P:S:20:     P:D:1:    P:D:20:    PFJ:S::   PFJ:S:1:  PFJ:S:20:
       1      3.067      2.928      3.056      3.030      3.112      3.337      1.881      3.311      3.331
       2      3.313      2.139      2.221      2.272      2.141      2.123      1.708      2.019      2.067
       4      3.073      1.740      1.815      1.771      1.604      1.761      1.640      1.651      1.739
       8      3.087      1.702      1.608      1.505      1.520      1.613      1.746      1.530      1.569
      16      3.249      1.535      1.546      1.514      1.552      1.467      1.820      1.596      1.548
      32      3.007      1.433      1.519      1.509      1.478      1.560      1.818      1.553      1.591
      64      3.109      1.553      1.656      1.639      1.552      1.749      1.853      1.639      1.714
     128      3.304      1.562      1.699      1.652      1.656      1.740      2.007      1.823      1.875
     256      3.552      1.673      1.974      1.738      2.179      2.001      2.163      2.153      1.940

